Name,Area,Full_Address,Dining,Veg,zomato_reviews,zomato_ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Miraz,"Tollygunge, Kolkata","3/73, Azadgarh, Borough X, Tollygunge, Kolkata",0,0,0,4.3,64,,,"Mouth Watering Food, Best Food under Best Budget, Extensive Menu, Worth the Money, Timely Service, Great Portions",100
Mini Box Fast Food Centre,"Golf Green, Kolkata","42, Ground Floor, Graham Road, Golf Green, Kolkata",0,0,0,-,3,,,,100
Fusion Asian Kitchen,"Jadavpur, Kolkata","5/2, Central Road, Jadavpur, Kolkata",0,0,0,-,21,,,,250
Swader Raja,"Jodhpur Park, Kolkata","135, Lake Gardens, Jodhpur Park, Kolkata",0,0,0,3.7,560,,,,150
Binod Chinese,"Behala, Kolkata","11A, Sourin Roy Road, Behala, Kolkata",0,0,0,-,4,,,,100
The Walking Street,"Metropolis Mall, Hiland Park, Kolkata","1925, Chak Garia, Metropolis Mall, Highland Park, Santoshpur, Kolkata",0,0,2,-,6,,,,500
Singh & Son's Kitchen,"Tollygunge, Kolkata","129, Graham Road, Tollygunge, Kolkata",0,0,0,-,4,,,,100
WOW! Momo On Wheels,"Kalighat, Kolkata","Kalighat Metro Station, Rash Behari Avenue Road, Kalighat, Kolkata",0,0,0,4,1822,,,,200
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"Dhakuria, Kolkata","117 B, Selimpore Road, Ward 92, Dhakuria, Kolkata",0,1,0,4.5,149,,,,100
Kathleen,"Tollygunge, Kolkata","14, Regent Palace, Ranikuthi, Tollygunge, Kolkata",0,0,0,4,363,,,,50
Hindusthan Sweets,"Jadavpur, Kolkata","58/1, Central Road, Near 8B Bus Stand, Jadavpur, Kolkata",0,0,0,4.2,2116,,"Mango Doi, Fruit Juices, Baked Rosogolla, Aam Doi, Kalakand, Kaju Barfi","Prices, Quality, Taste, Food",50
Flurys,"Tollygunge, Kolkata","174/1/2, NSC Bose Road, Netaji Nagar, Tollygunge, Kolkata",1,0,2,4.3,162,,,,300
Cafe Drifter,"Baghajatin, Kolkata","E/1, 19, Baghajatin Station Road, Ajanta Park, Baghajatin, Kolkata",1,0,227,3.6,1526,,"Cheese Sandwich, Chicken Pizza, Brownie, Fish Fry, Coffee","Staff Behaviour, Young Crowd, Worth the Money, Nice Place, Good Place, Delicious Food",600
Millie's,"Elgin, Kolkata","16 B, Sarat Bose Road, Elgin, Kolkata",1,0,122,4.1,136,,"Blueberry Cupcake, Cookie, Cupcakes, Velvet Cake, Cheese Cake, Pastries","Pretty Decor, Hygiene, Best Food under Best Budget, Flavour, Timely Service, Prices",500
The New My Club,"Gariahat, Kolkata","196/2, Near Basanti Devi College, Gariahat, Kolkata",1,0,253,4.3,274,,"Moglai Paratha, Fish Fry, Rolls, Tea, Soup, Snacks","Low Price, Good Place, Location, Prices, Good Food, Quantity",400
Parantha Point,"Bhawanipur, Kolkata","8A, Priyanath Mullick Road, Bhawanipur, Kolkata",1,0,136,4,2595,,,"Prices, Food Quality, Quantity, Ambience, Service",300
Sattvic,"Gariahat, Kolkata","13/5, Anil Maitra Road, Gariahat, Kolkata",0,0,0,3.5,0,,,,100
Bengal Hotel,"Behala, Kolkata","280, Diamond Harbour Road, Opposite 14 Bus Stop, Behala, Kolkata",1,0,257,3.7,1503,,"Butter Fish, Stew, Mutton Kasha, Biryani","Portion Size, Best Place, Tasty, Food Quality, Price, Quantity",300
Binod Stores,"New Alipore, Kolkata","68/1, Borough- IX, Kolkata Municipal Corporation, New Alipore, Kolkata",0,0,0,-,1,,,,100
Comida Casera La Casera,"Garia, Kolkata","Garia Station Road, Kaitala, Koyal Para, Narendrapur, Ward 29, Garia, Kolkata",0,0,0,2.9,17,,,,150
Faloodah,"Lake Market Area, Kolkata","104, Rash Behari Avenue, Lake Market Area, Kolkata",0,0,0,-,1,,,,350
Watami Kitchen,"Behala, Kolkata","22/2, Chanditola, Main Road, Near Sridi Post Office, Behala, Kolkata",0,0,0,-,0,,,,150
TASTE OF CHENNAI,"Hazra, Kolkata","Shop 12, Ground Floor, 53, S.P. Mukherjee Road, Hazra, Kolkata",1,0,15,-,14,,,,250
Coolfi Ice Cream,"Kasba, Kolkata","6/A, Baikuntha Ghosh Road, Kasba, Kolkata",0,0,0,-,5,,,,50
Boss's Kitchen,"Behala, Kolkata","17B, Sashi Bhusan Mukherjee Road, Behala, Kolkata",0,0,0,3.5,411,,,,200
New Bangla Khabar,"New Alipore, Kolkata","24, Ward 117, Malakar Para Road, New Alipore, Kolkata",0,0,0,-,4,,,,100
Sree Durga Sweets,"Behala, Kolkata","9/9, Diamond Harbour Road, Behala, Kolkata",0,1,0,-,3,,,,250
Ace Of Spicez,"Garia, Kolkata","B-42, Garia Park, Near Garia, Kolkata",0,0,0,3.8,56,,,"Spill Proof Packaging, Great Portions, Timely Service, Prices, Quantity, Packaging",200
Sai Vada Pav Centre,"Tollygunge, Kolkata","62, 3rd Floor, New Market, Jangrahatiara 2, Near Karunamoyee Ghat, Tollygunge, Kolkata",0,0,0,-,0,,,,100
Midnight Cravings,"Tollygunge, Kolkata","91A/18, BL Saha Road, Tollygunge, Kolkata",0,0,0,3.1,25,,,,150
New Everest,"Garia, Kolkata","3, Boral Main Road, Garia, Kolkata",0,0,0,4.1,113,,,,150
Sutanuti,"Behala, Kolkata","101/2, Roybahadur Road, Behala, Kolkata",0,0,0,-,0,,,,150
Thalaivaa The Taste Of South,"Jadavpur, Kolkata","15/1b, Central Road, Ground Floor, Jadavpur, Kolkata",0,0,0,-,0,,,,100
Big Chili Bong,"Santoshpur, Kolkata","Shaid Smriti Colony, Hiland Park, Near Sammiloni College, Santoshpur, Kolkata",0,0,0,-,0,,,,150
Tripti Fast Food Centre,"Garia, Kolkata","1133, Near Boalia friends club, Boalia, Garia, Kolkata",0,0,0,-,0,,,,50
Soo Drinky,"Garia, Kolkata","3817, Garia Station Road, Opposite Barada Prasad High School, Garia, Kolkata",0,0,0,-,0,,,,250
Baraf,"The Last Metro, Garia, Kolkata","1518, Garia Main Road, Near Kavi Nazrul Metro, Garia, Kolkata",1,0,219,3.3,104,,,"Comfortable Seating Area, Food Service, Bar, Lights, Staff Behaviour, Environment",1000
Hot Lips,"Behala, Kolkata","182, Om Tower, Ho Chi Minh Sarani, Behala, Kolkata",1,0,405,3.9,8326,,,"Good Quantity, Nice Food, Good Taste, Good Service, Reasonable Price, Nice Place",500
Cafelogy,"Behala, Kolkata","H1/1, Phase 1, Sarsuna Housing Estate, Behala, Kolkata",1,0,243,4.2,2097,,"Fried Rice Chicken, Chicken Pakora, Schezwan Chicken, Shakes, Momo, Drinks","Economical, Elegantly Decorated, Casual Seating Area, Nice Crowd, Good Portions, Service Time",350
Asit Snacks Bar,"Behala, Kolkata","349, Ho Chi Minh Sarani, Behala, Kolkata",1,0,307,4,14200,,,"Inexpensive, Good Portions, Mouth Watering Food, Prompt Service, Good Service, Timely Service",500
Daily Shass,"Behala, Kolkata","10/6/1, James Long Sarani, Near Barisha Uchha Balika Vidyamandir, Behala, Kolkata",1,0,8,3.6,85,,,,500
Biswas Mistanna Bhander,"Behala, Kolkata","1, Shyamsunder Pally, Biren Roy Road, Shakuntala Park, Behala, Kolkata",0,0,0,4,11600,,,,50
Prasada,"Joka, Kolkata","180, Mukund Das Colony, Diamond Harbour Road, Thakur Pukur, Near Vivekananda College, Joka, Kolkata",1,1,18,4.2,1767,,,,150
Kolkata Taj Biryani,"Behala, Kolkata","238, Ho Chi Minh Sarani, Behala, Kolkata",1,0,80,4,5052,,,,150
New Poulami Sweets,"Behala, Kolkata","309 F, Ground Floor, Sangita Residency, Ward 127, Ho-Chi-Minh Sarani, Behala, Kolkata",0,1,0,4,2010,,,,50
Shorshea Phoron,"Behala, Kolkata","182, Om Tower, Ho Chi Minh Sarani, Behala, Kolkata",1,0,14,3.3,545,,,,300
Jiya Snacks,"Ballygunge, Kolkata","107, Ekdalia Road, Near Government Bus Stop, Ballygunge, Kolkata",0,0,0,-,11,,,,100
Roll Capital,"Ajoy Nagar, Kolkata","57A, Sammilani Park, Ajoy Nagar, Kolkata",0,0,0,4.3,1277,,"Oreo Brownie, Salads, Rolls, Paratha, Sauce, Chicken","Packing, Customizable Food, Elaborate Menu, Extensive Menu, Worth the Money, Great Portions",100
Chandu Bhelwala,"Southern Avenue, Kolkata","A-16, Charu Chandra Place East, Southern Avenue, Kolkata",0,0,0,4,18,,,"Extensive Menu, Great Portions, Worth the Money, Delicious Food",100
Monkey Chef,"Baguihati, Kolkata","Ground Floor, Tegharia Main Road, Beside Loknath Mandir, Baguihati, Kolkata",0,0,0,4,2534,,"Mustard Fish, Butter Garlic Prawns, Dragon Chicken, Chilli Garlic Noodles, Chicken Lollipop, Chicken Hakka Noodles","Great Packaging, Proper Packaging, Weekend Brunch, Chinese, Customizable Food, Elaborate Menu",150
Midnight Belly,"Prince Anwar Shah Road, Kolkata","321/A, Prince Anwar Shah Road, Kolkata",0,0,0,3.7,8555,,,"Nice Food, Awesome Food, Good Service, Great Food, Good Food, Quantity",200
Chunky Monkey,"Tollygunge, Kolkata","15, Russa Road, East 2nd Lane, Municipal Corporation, Tollygunge, Kolkata",0,0,0,3.4,300,,,"Cute Packaging, Worth the Money, Extensive Menu, Great Portions, Timely Service, Food Presentation",200
Mood Music Food,"Jadavpur, Kolkata","141/36, Prince Golam Hossain Sha Road, Jadavpur, Kolkata",1,0,13,-,1,,,,450
C3 Kitchen,"Jadavpur, Kolkata","37, Bikramgarh, Jadavpur, Kolkata",0,0,0,-,1,,,,200
Hot & Spice,"Kasba, Kolkata","253/B.B, Chatterjee Road, Kasba, Kolkata",0,0,0,-,6,,,,100
Hungry Hangout,"Jadavpur, Kolkata","16 B, Bidhanpally, Jadavpur, Kolkata",1,0,1,-,0,,,,450
WOW! Momo,"Behala, Kolkata","355, Near Behala Police Station, Diamond Harbour Road, Behala, Kolkata",0,0,0,4.2,10100,,"Momo Burger, Fried Momo, Momos, Chocolate, Soup","Cute Packaging, Combo, Good Service, Food Presentation, Worth the Money, Value for Money",200
Domino's Pizza,"Behala, Kolkata","18, James Long Sarani, Behala, Kolkata",1,0,575,4.4,9215,,"Chicken Fiesta, Veg Supreme, Loaded Pizzas, Barbeque Chicken, Cheese Burst, Choco Lava Cake","Elegantly Decorated, Cozy Ambiance, Nice Crowd, Great Recommendations, Polite Staff, Reasonable Prices",400
Aminia,"Behala, Kolkata","54, Diamond Harbor Road, Pathak Para, Behala, Kolkata",1,0,1630,4.3,13100,,"Lahori Chicken, Galawti Kebab, Panneer Butter Masala, Mutton Curry, Mughlai Food, Peas Pulao","Gastronomical Experience, Lovely Ambience, Variation, Family Place, Sofas, Fast Delivery",700
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"Behala, Kolkata","P-16, Rama Krisna Sarani, Behala, Kolkata",0,1,0,4.5,712,,,,100
Ashirwad Biryani,"Behala, Kolkata","257, Mahendra Banerjee Road, Borough 14, Behala, Kolkata",1,0,13,3.9,1978,,,"Quantity, Packaging, Price, Service",250
Hatari,"Behala, Kolkata","18, Bhupen Roy Road, Behala, Kolkata",1,0,1172,4.3,7919,Legendary family restaurant. Known for their quantity and quick service,"Red Wine Chicken, Nasi Goreng Rice, Mongolian Fish, Red Pepper Fish, Sea Food, Lamb","Quantity Super, Good for Large Groups, Relaxed Atmosphere, Reasonable Rate, Family Restaurant, Authenticity",900
Wow! Bangali,"Behala, Kolkata","15/1/2, Sodepur Brick Field Road, Behala, Kolkata",0,0,0,4,1346,,,,100
Sumi's Kitchen,"Behala, Kolkata","85, Biren Roy Road West, Bakultala, Behala, Kolkata",1,0,426,3.6,31100,,,"Good Food and Good Service, Good Delivery, Experience, Good Quality",500
KFC,"Behala, Kolkata","96, Diamond Harbour Road, Shaker Bazar, Behala, Kolkata",1,0,1025,4.2,24300,,"Chicken Bucket, Popcorn Chicken, Hot Wings, Rice Bowl, Pav Bhaji, Burgers","Chirpy Crowd, Elegantly Decorated, Economical, Office Crowd, Cute Little Place, Cordial Staff",400
Chowman,"Behala, Kolkata","6A/2, Banamali Ghoshal Lane, Behala, Kolkata",1,0,3064,4.2,24200,"Combining contemporary elegance, an intimate ambience and an unparalleled service.","Crispy Chilli Lamb, Devilled Chicken, Fish Schezwan, Chilli Shrimp, Hong Kong Style Chicken, General Tso Chicken","Food and Service, Everything was very Good, Impressive Decor, Fantastic Service, Ample Seating Area, Calm",1000
Subway,"New Alipore, Kolkata","175, Block G, Nalini Ranjan Avenue, New Alipore, Kolkata",1,0,299,4,6045,,"Turkey Sub, Chicken Ham, Wraps, Salads, Breads","Healthy Food, Great Place, Location, Nice Place, Staff, Ambiance",400
Crazy 4 Cakes,"New Alipore, Kolkata","264, Durgapur Colony, Ward 81, Br-X, New Alipore, Kolkata",0,0,0,4,1656,,,"Not Expensive, Worth the Money, Timely Service, Quality, Price",50
Jadu Kadai,"Behala, Kolkata","743, Diamond Harbour Road, Near Behala Chowrasta, Behala, Kolkata",1,0,270,3.9,6061,,"Tandoori Chicken, Naan, Chilli Chicken, Fried Rice, Biryani","Mixed Rice, Tasty Food, Spicy, Location, Nice Place, Good Food",550
Zam Zam,"Kidderpore, Kolkata","18, Dent Mission Road, Kidderpore, Kolkata",1,0,588,4.2,2936,,,"Seating Arrangement, Good Food, Quantity, Staff, Service, Experience",500
Koshe Kosha,"Behala, Kolkata","12, Mondal Para 1st Lane, James Long Sarani, Near M P Birla High School, Behala, Kolkata",1,0,451,4.2,4378,,"Gondhoraj Mangsho, Gondhoraj Chicken, Aam Doi, Basanti Polao, Mutton Kosha, Bhetki Paturi","Gastronomical Experience, Good Value, Management, Courteous Staff, Mood, Combo",800
6 Ballygunge Place Take Away,"Behala, Kolkata","165, Santosh Roy Road, Behala, Kolkata",0,0,0,4.2,1371,,,,150
Flurys,"New Alipore, Kolkata","41, Ramtanu Lahiri Sarani, Ward 81, New Alipore, Kolkata",1,0,86,4.1,637,The legendary breakfast place on the Calcutta famous Park Street corner.,,,300
Monginis,"New Alipore, Kolkata","23A/541B, Diamond Harbour Road, Near Petrol Pump, New Alipore, Kolkata",0,0,0,4.2,1630,,,,50
Oudh 1590,"Naktala, Kolkata","356/3/1, NSC Bose Road, Naktala, Kolkata",1,0,164,4.2,8074,,"Awadhi Lamb Biryani, Kundan Kaliya, Raita, Biryani","Served Quickly, Perfect Presentation, Family Crowd, Excellent Food, Good Music, Wonderful Presentation",1200
Balaram Mullick & Radharaman Mullick Sweets,"Behala, Kolkata","567, Ground Floor, Diamond Harbor Road, Behala, Kolkata",0,0,0,4.3,4,,,,100
Kabuliwala,"Thakur Pukur, Kolkata","110, 1st Floor, Om Sai Kriti Apartment, Diamond Harbour Road, Thakur Pukur, Kolkata",0,0,0,4.1,14500,,"Basmati Rice, Firni, Paneer Butter Masala, Mutton","Great Taste, Good Quantity, Proper Packaging, Packing, Good Taste, Extensive Menu",200
Mama Mia!,"Behala, Kolkata","63/21, Barisha, Purba Barisha, South 24 PGNS, Nabalia Para Road, Behala, Kolkata",0,0,0,4.4,4351,,,,200
NIC - Natural Ice Creams,"Behala, Kolkata","Shop 25/A, Raja Ram Mohan Roy Road, Behala, Kolkata",1,0,7,4.6,2202,,,,300
Azad Hind Dhaba,"Joka, Kolkata","109, Diamond Harbour Road, Near Bharath Petrol Pump, Joka, Kolkata",0,0,584,3.9,12000,,"Panneer Butter Masala, Kadhai Chicken, Rumali Roti, Butter Naan, Chicken Roll, Kabab","Desi Vibes, Authenticity, Pocket Friendly, Fast Service, Decoration, Good Quantity",700
Baskin Robbins,"Behala, Kolkata","68A, Bhupen Roy Road, Behala, Kolkata",0,1,0,4.4,2637,,"Mississippi Mud, Banana Caramel, Icecream, Ice Creams, Chocolate",,150
Cookies & Cakes,"Behala, Kolkata","116B, Senhati Colony, Chanditola Branch Road, Behala, Kolkata",0,0,0,4.3,5447,,,"Affordable and Authentic, Proper Packaging, Worth the Money, Food Presentation, Timely Service, Great Portions",100
Dariole,"Behala, Kolkata","Ground Floor, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Behala, Kolkata",0,0,0,4.4,944,,,,100
Kathleen,"Behala, Kolkata","305, Diamond Harbour Road, Behala, Kolkata",0,0,0,3.9,593,,,,50
Machhli Baba Fries,"Behala, Kolkata","24, Raja Ram Mohon Roy Road, Near Mondal Jewellers, Behala, Kolkata",1,0,6,4.2,2485,,,,300
Natural Ice Cream,"Behala, Kolkata","203, Mahatma Gandhi Road, Behala, Kolkata",1,1,6,4.6,609,,,,300
Haka,"Behala, Kolkata","A1, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Barisha, Behala, Kolkata",1,0,123,4.3,2817,,"Brownies, Buffet, Prawns, Soup, Starters, Fish","Interior Decoration, Chinese, Family Crowd, Lights, Good Wifi, Good Music",800
Rang De Basanti Dhaba,"Behala, Kolkata","E-7/99/A, Maheshtala, Biren Roy Road, Behala, Kolkata",1,0,136,3.9,3190,,"Chole, Fish Tikka, Mutton, Starters, Biryani, Chicken","Atmosphere, Good Music, Perfect Presentation, Tasty Food, Elaborate Menu, Proper Packaging",600
Kreamz,"Behala, Kolkata","2/6, Sourin Roy Road, Behala, Kolkata",0,0,0,4,34,,,,100
Tea Junction,"Kidderpore, Kolkata","7/2, The Calcutta Medical Research Institute, Diamond Harbor Road, Kidderpore, Kolkata",1,0,1,4,498,,,,350
The French Loaf,"Alipore, Kolkata","4A, Ground Floor, New Road, Near Krishna Super Bazar, Alipore, Kolkata",1,0,64,3.9,472,,,"Good Place, Ambience, Value for Money, Taste",400
Mainland China,"Behala, Kolkata","A1, Riddhi Siddhi Pearl 5, Bose Para Bye Lane, Behala, Kolkata",0,0,0,4.1,345,,,"Healthy and Delicious, Spill Proof Packaging, Fresh Food with Good Quality, Extensive Menu, Quantity, Service",500
Cafe Coffee Day,"Behala, Kolkata","68A/1, James Long Sarani, Bhupen Roy Road, Behala, Kolkata",1,0,241,4.1,1109,,,"Great Place, Good Place, Location, Ambiance, Nice Place, Staff",500
Rollick,"Behala, Kolkata","19, Mondal Para, 1st Lane, 160 Bhupen Roy Road, Behala, Kolkata",1,0,0,-,0,,,,200
fnpCakes ‘n’ more,"New Alipore, Kolkata","Shop 3, Block B, Ustad Allaudin Khan Sarani, New Alipore, Kolkata",1,0,41,4.1,438,,,"Amazing Interiors, Customizable Food, Fresh Food, Elaborate Menu, Timely Service, Good Quality",300
Faasos - Wraps & Rolls,"Joka, Kolkata","203, Mahatma Gandhi Road, Joka, Kolkata",0,0,0,4.1,3184,,,"Good Wifi, Cute Packaging, Proper Packaging, Customizable Food, Fresh Food, Great Portions",200
Sweet Truth - Cake and Desserts,"Joka, Kolkata","203, Mahatma Gandhi Road, Joka, Kolkata",0,0,0,4.1,1361,,"New York Cheesecake, Red Velvet Cake, Cheesecake, Brownies, Pastry","Cute Packaging, Great Portions, Fresh Food, Worth the Money, Customizable Food, Timely Service",300
Shawarma Nation,"Behala, Kolkata","P 20, Nabalia Para Road, Behala, Kolkata",0,0,0,4.2,3547,,,,250
China Green,"Behala, Kolkata","669/1, Diamond Harbour Road, Near Behala Chowrasta, Behala, Kolkata",1,0,63,4.1,3375,,,"Chinese Restaurant, Worth the Money, Customizable Food, Great Portions, Elaborate Menu, Timely Service",400
Chilli Garlic,"Behala, Kolkata","808, Ho Chi Minh Sarani, Near Shakuntala Park Multiplex, Behala, Kolkata",1,0,328,4.1,13700,,"Drums of Heaven, Veg Hakka Noodles, Noodle, Mixed Fried Rice, Momos, Chicken","Polite Staff, Worth the Money, Good Taste, Proper Packaging, Food Presentation, Good Service",700
Jessore Local,"Thakur Pukur, Kolkata","110, 1st Floor, Om Sai Kriti Apartment, Diamond Harbour Road, Thakur Pukur, Kolkata",0,0,0,3.4,105,,,,250
The Good Bowl,"Joka, Kolkata","203, Mahatma Gandhi Road, Joka, Kolkata",0,0,0,4.2,764,,,"Fresh Food, Great Portions, Customizable Food, Good Quality, Delicious Food, Packaging",200
Cocoa Bakery,"New Alipore, Kolkata","22N/1, Block A, New Alipore, Kolkata",1,0,839,4.2,3832,,"Chocolate Surprise, Macaroons, Mud Pie, Crepe, Walnut Brownie, Red Velvet Cake","Quaint Little Place, Cosy Place, Nice Decor, Breakfast, Cozy, Vibe",500
Sanjha Chulha,"Behala, Kolkata","25 Nafar CH Das Road, Ward 120, Borough X III, Behala, Kolkata",1,0,13,4.1,458,,,,700
Garden Cafe,"Alipore, Kolkata","8/1, Woodlands Service Station, Alipore Road, Alipore, Kolkata",1,1,433,4,2666,South Indian Delights!!,"Dahi Vada, Sambar, Dosa, Kulfi, Pizzas, Cold Coffee","South Indian Food, Fast Service, Prompt Service, Quick Service, Cafe, Best Place",350
Kitchen Of Flavours,"Joka, Kolkata","14/7, Near 22 Bigha Road, Nabapally, Joka, Kolkata",0,0,0,4.1,1489,,,,100
The Biryani Life,"Joka, Kolkata","203, Mahatma Gandhi Road, Above Jana Small Finanace Bank, Joka, Kolkata",0,0,0,4.1,640,,,"Fresh Food, Great Portions, Good Quality, Value for Money, Packaging",250
Dubbawala,"Thakur Pukur, Kolkata","268, Diamond Harbour Road, Ward 124, Thakur Pukur, Kolkata",0,0,0,3.6,6668,,"Basmati Rice, Mutton Kosha, Thali, Chutney, Fish","Portion, Good Food, Price, Good Quality",150
Vaishnavi Rasoi Ghar,"Joka, Kolkata","Flat 2E, Tower 13, Genex Valley Residential Club, Diamond Park, Joka, Kolkata",0,0,0,3.8,240,,,,150
Benjamin Bangalee,"Behala, Kolkata","P/122, James Long Sarani, Behala, Kolkata",1,0,438,3.9,4830,,"Charcoal Chicken, Jumbo Roll, Chicken Honey, Gondhoraj Chicken, Chicken Roast, Chicken Hakka Noodles","Good for Large Groups, Ample Seating Area, Service Time, Mixed Rice, Family Place, Staff Behaviour",650
The Brooklyn Creamery,"Tollygunge, Kolkata","6/1/2, Graham's Land, N.S.C Bose Road, Tollygunge, Kolkata",0,0,0,4.5,132,,,,200
Asit Snacks Bar,"Behala, Kolkata","108B, Near Sarsuna Police Station, Sonamukhi Road, Behala, Kolkata",0,0,0,4,81,,,,150
Calcutta Cravings,"Behala, Kolkata","24, Raja Ram Mohon Roy Road, Near Mondal Jewellers, Behala, Kolkata",0,0,0,4,109,,,,150
Kolkata Ki Rasoi,"Behala, Kolkata","1391, Shibrampur, Kasta Danga Road, Behala, Kolkata",0,0,0,4,262,,,,150
Blue Tokai Coffee Roasters,"New Alipore, Kolkata","23S, Block B, New Alipore, Kolkata",1,0,8,4.3,71,,,,350
Barista,"New Alipore, Kolkata","175 G, New Alipore, Kolkata",1,0,99,4.1,163,,,"Good Options, Customizable Dishes, Family Crowd, Cafe, Music, Good Place",600
Krazy Wing Shack,"Thakur Pukur, Kolkata","84A, Purba Apartment, Das Para Road, Thakur Pukur, Kolkata",0,0,0,4.3,776,,"Fried Chicken, Wings, Hakka Noodles, Meat, Fries, Cake","Economical Price, Portion Size, Spill Proof Packaging, Worth the Money, Great Portions, Timely Service",200
Salt And Sugar,"Joka, Kolkata","A1, Diamond Park, Joka, Kolkata",0,0,0,4.4,518,,,,100
Paine's Kitchen,"Behala, Kolkata","36A, Diamond Harbour Road, Sakherbajar, Behala, Kolkata",0,0,0,3.8,164,,,"Worth the Money, Food Presentation, Great Portions, Extensive Menu, Timely Service, Delicious Food",150
The Confectioners & Bakers,"Behala, Kolkata","54, Biren Ray Road, Behala, Kolkata",0,0,0,3.9,132,,,,50
Shawarma Hut,"Behala, Kolkata","45, Ho Chi Minh Sarani, Behala, Kolkata",0,0,0,3.3,44,,,,100
The Manjil Food Centre,"Behala, Kolkata","149, Biren Roy Road, Diamond City West, Behala, Kolkata",1,0,68,3.4,4140,,,,500
Mitra Food And Snacks Corner,"Behala, Kolkata","11/6, Parui Kancha Road, Borough -14, Behala, Kolkata",0,0,0,4,22,,,,100
Cake Walk,"Joka, Kolkata","21/1/1, Pailan Park, Opposite Pailan Management College, Joka, Kolkata",0,0,0,4.1,470,,,,150
New Jalajog Food Products,"Thakur Pukur, Kolkata","68, MG Road, Thakur Pukur, Kolkata",0,0,0,4.2,79,,,,100
Shreya's Kitchen,"Tara Tala, Kolkata","249A, santi apartment, Upenbanrjee Road, Tara Tala, Kolkata",0,0,0,4.3,136,,,,100
The Herbs & Spices,"Joka, Kolkata","Gennex Valley, Diamond Park, Opposite ESIC Hospital, Joka, Kolkata",1,0,234,4,7382,,,"Relaxed Atmosphere, Friendly Service, Good Taste, Good Food, Ambiance, Quantity",550
Maggie N Adda Fast Food,"Behala, Kolkata","187, Parui Pucca Road, Borough 14, Behala, Kolkata",0,0,0,3.4,30,,,,100
Xiang Lin's Kitchen,"Thakur Pukur, Kolkata","P/122, James Long Sarani, Thakur Pukur, Kolkata",0,0,0,4.1,360,,,"Contactless Delivery, Tamper Proof Packaging, Worth the Money, Extensive Menu, Great Portions, Tasty",250
Sb's Rannaghar,"Behala, Kolkata","44/1, Gabtala Lane, Behala, Kolkata",0,0,0,3.4,32,,,,100
SS Kitchen,"Joka, Kolkata","P-66/B, Diamond Park, Joka, Kolkata",1,0,0,3.2,78,,,,300
Fries Before Guys,"Behala, Kolkata","184/9, Ground Floor, Roy Bahadur Road, Behala, Kolkata",1,0,104,3.4,73,,,"Office Crowd, Inexpensive, Cute Little Place, Cordial Staff, Good Crowd, Great Recommendations",400
Dakshinayan Restaurant,"Joka, Kolkata","Near Diamond Park, Diamond Harbour Road, Joka, Kolkata",1,0,77,3.6,495,,,,450
Firangi Bake,"Joka, Kolkata","203, Mahatma Gandhi Road, Joka, Kolkata",0,0,0,4.3,733,,,"Fresh Food, Great Portions, Elaborate Menu, Customizable Food, Good Quality, Worth the Money",250
Mahakal Mukhwas Food Centre,"Behala, Kolkata","175H, Fakir Para Road, Behala, Kolkata",0,0,0,3.3,21,,,,150
Chef-A-Tale,"Thakur Pukur, Kolkata","2, Mahatma Gandhi Road, Thakur Pukur, Kolkata",0,0,0,4,61,,,,250
Laddu Ghar,"Behala, Kolkata","93/37A, Joyrampur, Jala Road, Behala, Kolkata",0,0,0,-,0,,,,50
Khabar Kella,"Behala, Kolkata","326/10, Om Apartment, Raja Ram Mohan Roy Road, Behala, Kolkata",0,0,0,3.2,29,,,,150
The Mungerian's Desi Food,"Behala, Kolkata","245A, Parui Paddy Land, 5 Biren Roy Road, West Kalipore, Borough-XIV, Behala, Kolkata",1,0,0,-,0,,,"Menu Options, Best Staff, Low Price, Staff Behaviour, Presentation, Timely Service",500
Regency,"Behala, Kolkata","325B, Parui Das Para Road, Behala, Kolkata",0,0,0,-,0,,,,100
Sweet Tooth ,"New Alipore, Kolkata","538/C, Block N, New Alipore, Kolkata",0,0,0,-,0,,,,100
Tribe,"Behala, Kolkata","18, Mondal Para, 1st Lane, Mailing 12, Ward 121, Behala, Kolkata",1,0,20,4.2,13,,,"Ambiance, Fresh Food, Good Quality, Service",600
Red Kitchen & Lounge,"Enclave, Alipore, Kolkata","4th Floor, 17/1 F, Enclave Building, Alipore Road, Alipore, Kolkata",1,0,272,3.3,92,Chinese at it's best,,"Live Kitchen, Dance Floor, Dj, Music, Courteous Staff, Good Place",1700
Mandarin Restaurant,"Southern Avenue, Kolkata","Flat LT, 26, Tapan Chowdhury Avenue, Southern Avenue, Kolkata",1,0,239,-,8,,,"Management, Preparation, Portions, Good Service, Decor, Main Course",700
Curcuma,"Behala, Kolkata","Shop 4, 3rd Floor, Royal Green Club House, Behind Stadium Greenfield City, Sibrampur, Behala, Kolkata",1,0,9,3.9,235,,,,300
Snacks Bar,"Behala, Kolkata","P-74, Dakshin Behala Road, Borough-XIV, Near Diamond City, Behala, Kolkata",0,0,0,-,2,,,,100
